
la commune,les années,Température à 2m Max   ( c ),la températue moyenne      ( c ),Température  à 2 m min     ( c ),Somme totale corrigée des précipitations (mm),Direction du vent sur 2 m  (°),Direction du vent sur 10m (°),Direction du vent sur 50m(°),vitesse du vent à 2 m  (m/s),vitesse du vent sur 10m(m/s),vitesse du vent sur 50m(m/s),Humidité spécifique à 2 mètres (g/kg),Humidité Relative (%),préssion de surface (kPa),Température du sol ( c ),Humidité de surface du sol,Humidité du profil du sol,Humidité de la zone racinaire du sol ,Température du thermomètre à bulbe humide à 2mèttre ( c),Point de rosée/gel à 2 mètres           ( C ),Irradiance directe normale descendante de courte longueur d'onde en surface sous toutes conditions météorologiques (kW-hr/m²/jour),Irradiance descendante de courte longueur d'onde en surface sous toutes conditions météorologiques (kW-hr/m²/jour),Irradiance descendante de courte longueur d'onde en surface sous ciel clair (kW-hr/m²/jour),Irradiance diffuse de courte longueur d'onde en surface sous toutes conditions météorologiques (kW-hr/m²/jour),Irradiance UVA de Surface sous Toutes Conditions Météorologiques (W/m^2),Irradiance UVB de Surface sous Toutes Conditions Météorologiques (W/m^2),Irradiance Totale de la Radiation Photosynthétiquement Active de Surface sous Toutes Conditions Météorologiques (W/m²),totale palmiers productifs,production  (Qx),Rendement (Quintal /palmier),la production de la commune (Kg),Rendement des dattes (Kg/palmier),palmiers productifs de variété Deglet Nour (Nombre),production  de la variété Deglet Nour (Qx°,productin    (kg) ,le rendement de la variété Deglet Nour (kg/palmier)
Tolga,2007,47.18,46.03,1.15,110.74,21.62,22.75,24.56,11.37,15.1,19.13,6.41,43.69,100.56,22.38,0.27,0.35,0.34,14.19,6.76,6.05,5.48,5.96,1.81,12.81,0.27,102.05, 258 780, 168 963,0.6529214,16896300,65.29214004,189800,132550,13255000,69.83667018
,2008,48.08,47.74,0.34,100.2,39.25,41.88,43.69,12.26,16.07,19.37,6.23,42.94,100.54,22.49,0.25,0.34,0.34,13.92,6.22,6.05,5.49,5.92,1.84,12.82,0.28,102.38,258780,221960,0.85771698,22196000,85.77169797,189800,132550,13255000,69.83667018
,2009,47.22,46.2,1.01,226.76,0.31,4.56,5.69,11.22,14.9,17.87,6.65,46.81,100.46,21.73,0.33,0.38,0.37,14.18,7.3,6.34,5.55,6.02,1.73,13.03,0.28,103.28,261300,202160,0.773670111,20216000,77.3670111,216000,170890,17089000,79.11574074
,2010,47.27,47.34,-0.07,126.56,359.69,5.69,9.19,11.88,15.59,19.23,6.47,42.81,100.31,22.69,0.28,0.35,0.34,14.28,6.8,6.06,5.45,5.95,1.79,12.83,0.27,101.92,287100,252790,0.880494601,25279000,88.04946012,221500,199350,19935000,90
,2011,48.08,47.12,0.96,168.75,49.31,47.12,42.56,10.89,14.12,17.12,6.77,45.75,100.6,22.57,0.28,0.35,0.34,14.62,7.58,6.22,5.51,5.94,1.74,12.97,0.28,103.16,293930,258030,0.877862076,25803000,87.7862076,228100,204290,20429000,89.56159579
,2012,48.45,48.99,-0.54,52.73,13.5,15.94,18.75,11.47,14.81,18.33,6.04,41.25,100.57,23,0.25,0.34,0.34,14.07,5.99,6.32,5.59,5.99,1.77,13.09,0.28,104.09,294340,332572,1.129890603,33257200,112.9890603,228500,274200,27420000,120
,2013,45.21,44.68,0.53,142.38,359.81,3.19,5.75,11.9,15.63,18.96,6.35,42.56,100.47,22.5,0.27,0.34,0.34,14.11,6.55,6.24,5.51,5.98,1.73,12.98,0.28,103.01,294340,332572,1.129890603,33257200,112.9890603,228500,274200,27420000,120
,2014,47.23,45.34,1.89,79.1,20.31,22.88,22.88,11.45,14.81,17.97,6.23,41.38,100.47,23.05,0.26,0.35,0.34,14.26,6.34,6.18,5.49,5.97,1.75,12.9,0.27,102.62,294580,425820,1.445515649,42582000,144.5515649,228600,367326,36732600,160.6850394
,2015,47.19,46.68,0.51,58.01,42.75,41.94,39.94,10.18,13.38,16.2,6.29,41.25,100.72,23.05,0.22,0.34,0.34,14.17,6.27,6.3,5.55,5.98,1.73,13,0.27,103.52,294580,427997,1.452905832,42799700,145.2905832,228600,365760,36576000,160
,2016,46.25,43.77,2.48,94.92,15.81,18.06,18.81,10.51,13.82,16.45,6.23,40.94,100.59,23.34,0.23,0.34,0.34,14.37,6.37,6.23,5.54,5.96,1.76,12.99,0.28,103.43,295890,410670,1.387914428,41067000,138.7914428,229560,344340,34434000,150
